,Neighborhood,Zipcode,Latitude,Longitude
28,"Canoga Park, Los Angeles, CA",91303-2211,34.1909828,-118.5961783
29,"Canterbury Knolls, Los Angeles, CA",,,
30,"Carthay, Los Angeles, CA",California,34.0611213,-118.3672997
31,"Castle Heights, Los Angeles, CA",,,
32,"Central-Alameda, Los Angeles, CA",California,34.004015,-118.2477844
33,"Central City, Los Angeles, CA",2010,15.1846747,120.5828961
34,"Century City, Los Angeles, CA",90067,34.0573589,-118.4146078
35,"Chatsworth, Los Angeles, CA",California,34.2595715,-118.6023247
36,"Chesterfield Square, Los Angeles, CA",90047-1130,33.9834737,-118.3136513
37,"Cheviot Hills, Los Angeles, CA",90064-2320,34.0405878,-118.4098875
38,"Chinatown, Los Angeles, CA",90012,34.0638402,-118.2358676
39,"Civic Center, Los Angeles, CA",California,34.0536909,-118.242766
40,"Crenshaw, Los Angeles, CA",90303,33.9252122,-118.3265295
41,"Crestwood Hills, Los Angeles, CA",,,
42,"Cypress Park, Los Angeles, CA",90065-1256,34.0922322,-118.2245179
43,"Del Rey, Los Angeles, CA",California,33.9896527,-118.4243437
44,"Downtown, Los Angeles, CA",California,34.0428494,-118.2476732
45,"Eagle Rock, Los Angeles, CA",90041-1238,34.1390325,-118.2140958
46,"East Gate Bel Air, Los Angeles, CA",,,
47,"East Hollywood, Los Angeles, CA",90029-2631,34.0904277,-118.2966254
48,"Echo Park, Los Angeles, CA",90026,34.074,-118.2608735
49,"Edendale, Los Angeles, CA",90039,34.1075157,-118.2659493
50,"El Sereno, Los Angeles, CA",California,34.0811213,-118.1778495
51,"Elysian Heights, Los Angeles, CA",90031-2212,34.080268,-118.2259162
52,"Elysian Park, Los Angeles, CA",California,34.0774343,-118.2386204
53,"Elysian Valley, Los Angeles, CA",California,34.0959128,-118.2420326
54,"Encino, Los Angeles, CA",91316-3402,34.1591324,-118.5016166
55,"Exposition Park, Los Angeles, CA",California,34.01365405,-118.28721058194556
56,"Faircrest Heights , Los Angeles, CA",,,
57,"Fairfax, Los Angeles, CA",90036-2829,34.0791555,-118.3522844
58,"Fashion District, Los Angeles, CA",90079,34.036622,-118.2590687
59,"Filipinotown, Historic, Los Angeles, CA",,,
60,"Financial District, Los Angeles, CA",900014,34.0457621,-118.2593047
61,"Florence, Los Angeles, CA",90001,33.9741588,-118.2432856
62,"Flower District, Los Angeles, CA",90014-2312,34.04096425,-118.24939703818897
63,"Franklin Hills, Los Angeles, CA",,,
64,"Gallery Row, Los Angeles, CA",California,34.04668705,-118.24948972158668
65,"Garvanza, Los Angeles, CA",California,34.1195777,-118.18062645261816
66,"Glassell Park, Los Angeles, CA",90065,34.1161201,-118.2289627
67,"Gramercy Park, Los Angeles, CA",90047,33.9511938,-118.3093275
68,"Granada Hills, Los Angeles, CA",91344-7401,34.2661558,-118.5174342
69,"Green Meadows, Los Angeles, CA",California,33.9409877,-118.2629968
70,"Griffith Park, Los Angeles, CA",California,34.1358143,-118.2947892
71,"Hancock Park, Los Angeles, CA",90036-2829,34.0677801,-118.332635
72,"Harbor City, Los Angeles, CA",90710-2805,33.7911012,-118.3012604
73,"Harbor Gateway, Los Angeles, CA",California,33.8542249,-118.2992198
74,"Harvard Heights, Los Angeles, CA",90018-1540,34.0471105,-118.3054828
75,"Harvard Park, Los Angeles, CA",California,33.9839471,-118.3046228
76,"Hermon, Los Angeles, CA",California,34.10783085,-118.18510059004069
77,"Highland Park, Los Angeles, CA",California,34.0536909,-118.242766
78,"Historic Core, Los Angeles, CA",California,34.051860950000005,-118.24632625577797
79,"Hollywood, Los Angeles, CA",90028-8127,34.0980031,-118.329523
80,"Hollywood Dell, Los Angeles, CA",,,
81,"Hollywood Hills, Los Angeles, CA",California,34.1311792,-118.3355474
82,"Hollywood Hills West, Los Angeles, CA",90046-2549,34.1104847,-118.3733879
83,"Holmby Hills, Los Angeles, CA",,,
84,"Hyde Park, Los Angeles, CA",90043,33.9805691,-118.3306308
85,"L.A. Downtown Industrial District, Los Angeles, CA",,,
86,"Jefferson Park, Los Angeles, CA",90018,34.0272344,-118.3175756
87,"Jewelry District, Los Angeles, CA",900014,34.046206299999994,-118.25416742423957
88,"Kinney Heights, Los Angeles, CA",,,
89,"Koreatown, Los Angeles, CA",90005,34.0617936,-118.3054475
90,"Ladera, Los Angeles, CA",California,33.9943126,-118.3735089
91,"Lafayette Square, Los Angeles, CA",,,
92,"Lake Balboa, Los Angeles, CA",91406-5441,34.1938237,-118.5010456
93,"Lake View Terrace, Los Angeles, CA",91040-1737,34.2763908,-118.3611912
94,"Larchmont, Los Angeles, CA",California,34.0798375,-118.3178702
95,"Laurel Canyon, Los Angeles, CA",91601-3121,34.1684654,-118.3962958
96,"Leimert Park, Los Angeles, CA",90008,34.008441,-118.3314469
97,"Lincoln Heights, Los Angeles, CA",California,34.070929050000004,-118.20988981653888
98,"Little Armenia, Los Angeles, CA",90029-2631,34.0981716,-118.3044966
99,"Little Ethiopia, Los Angeles, CA",,,
100,"Little Italy, Los Angeles, CA",,,
101,"Little Tokyo, Los Angeles, CA",California,34.0510343,-118.2386102
102,"Los Feliz, Los Angeles, CA",California,34.10821395,-118.29003213272208
103,"Manchester Square, Los Angeles, CA",California,33.966374,-118.3133775
104,"Mandeville Canyon, Los Angeles, CA",90049-4013,34.0610395,-118.4949801
105,"Marina Peninsula, Los Angeles, CA",,,
106,"Mar Vista, Los Angeles, CA",California,34.0037605,-118.4391641
107,"Melrose Hill, Los Angeles, CA",California,34.0536909,-118.242766
108,"Mid-City, Los Angeles, CA",California,34.0415271,-118.3603703
109,"Mid-Wilshire, Los Angeles, CA",90036,34.0568616,-118.3458032
110,"Miracle Mile, Los Angeles, CA",,,
111,"Mission Hills, Los Angeles, CA",91345,34.2572249,-118.4670285
112,"Montecito Heights, Los Angeles, CA",California,34.0895404,-118.1942792
113,"Monterey Hills, Los Angeles, CA",,,
114,"Mount Olympus, Los Angeles, CA",,,
115,"Mount Washington, Los Angeles, CA",90065-1256,34.0988396,-118.2211069
116,"Naud Junction, Los Angeles, CA",90012,34.0605671,-118.2361847
117,"Nichols Canyon, Los Angeles, CA",90046-2549,34.106135800000004,-118.3592408967005
118,"NoHo Arts District, Los Angeles, CA",,,
119,"North Hills, Los Angeles, CA",California,34.2429575,-118.4854081
120,"North Hollywood, Los Angeles, CA",91601-3121,34.1729044,-118.3740371
121,"Northridge, Los Angeles, CA",91324,34.2345615,-118.5369316
122,"North University Park, Los Angeles, CA",California,34.027449,-118.2839493
123,"Old Bank District, Los Angeles, CA",111041,4.6956101,-74.1202393
124,"Outpost Estates, Los Angeles, CA",,,
125,"Pacific Palisades, Los Angeles, CA",90272-3719,34.0480643,-118.5264706
126,"Pacoima, Los Angeles, CA",91331-2536,34.2625025,-118.427027
127,"Palms, Los Angeles, CA",California,34.0247328,-118.4116152
128,"Panorama City, Los Angeles, CA",91402,34.2242902,-118.4453745
129,"Park La Brea, Los Angeles, CA",90036,34.0674016,-118.3552363
130,"Picfair Village, Los Angeles, CA",,,
131,"Pico Robertson, Los Angeles, CA",California,34.053269,-118.3869832
132,"Pico-Union, Los Angeles, CA",California,34.0465669,-118.2878942
133,"Playa del Rey, Los Angeles, CA",California,33.9541453,-118.4388067
134,"Playa Vista, Los Angeles, CA",90094,33.9760102,-118.4181654
135,"Porter Ranch, Los Angeles, CA",California,34.2818164,-118.5612714
136,"Rancho Park, Los Angeles, CA",California,34.0341731,-118.4262057
137,"Reseda, Los Angeles, CA",91335-2819,34.2000784,-118.5369884
138,"Reynier Village, Los Angeles, CA",,,
139,"Rose Hills , Los Angeles, CA",California,34.0139157,-118.0233474
140,"Rustic Canyon, Los Angeles, CA",90402,34.029593,-118.5167725
141,"San Pedro, Los Angeles, CA",90731,33.7358518,-118.2922934
142,"Sawtelle, Los Angeles, CA",California,34.0361107,-118.4503563
143,"Shadow Hills, Los Angeles, CA",91040-1737,34.2619469,-118.3517463
144,"Sherman Oaks, Los Angeles, CA",91403,34.1508718,-118.4489865
145,"Sherman Village, Los Angeles, CA",91401-6038,34.1575832,-118.4138403
146,"Silver Lake, Los Angeles, CA",90026-2106,34.0896518,-118.2693735
147,"Skid Row, Los Angeles, CA",90013,34.0440571,-118.2438507
148,"Solano Canyon, Los Angeles, CA",90065-1256,34.0818871,-118.234983
149,"Sonoratown , Los Angeles, CA",90014,34.0415628,-118.2521722
150,"South Central, Historic, Los Angeles, CA",53202,43.058347299999994,-87.88327942896801
151,"South Park, Los Angeles, CA",California,33.9959381,-118.2697608
152,"South Robertson, Los Angeles, CA",,,
153,"Spaulding Square, Los Angeles, CA",,,
154,"Studio City, Los Angeles, CA",91604,34.1483989,-118.3961877
155,"Sunland, Los Angeles, CA",91042-2137,34.2669466,-118.3023
156,"Sunset Junction, Los Angeles, CA",90029-2105,34.0926493,-118.2807954
157,"Sun Valley, Los Angeles, CA",California,34.0536909,-118.242766
158,"Sylmar, Los Angeles, CA",91342-4119,34.3076252,-118.4492148
159,"Tarzana, Los Angeles, CA",91356,34.1688075,-118.5361198
160,"Terminal Island, Los Angeles, CA",90731-7364,33.7266094,-118.26709930362469
161,"Thai Town, Los Angeles, CA",90028-5420,34.1018533,-118.3048616
162,"Toluca Lake, Los Angeles, CA",91602-2532,34.1521688,-118.3571417
163,"Toy District, Los Angeles, CA",California,34.0470483,-118.24551021662734
164,"Tujunga, Los Angeles, CA",91042,34.252225,-118.2884105
165,"University Hills, Los Angeles, CA",California,34.068035249999994,-118.17335242769215
166,"University Park, Los Angeles, CA",California,34.027449,-118.2839493
167,"University Park, North, Los Angeles, CA",California,34.027449,-118.2839493
168,"Valley Glen, Los Angeles, CA",91607,34.1826379,-118.4138666
169,"Valley Village, Los Angeles, CA",91607,34.1637147,-118.3965758
170,"Van Nuys, Los Angeles, CA",91401-2649,34.1866193,-118.4486669
171,"Venice, Los Angeles, CA",California,33.988334949999995,-118.46152716615018
172,"Vermont Knolls, Los Angeles, CA",90044-3530,33.9668188,-118.29167
173,"Vermont-Slauson, Los Angeles, CA",90044-3530,33.9836914,-118.2915417
174,"Vermont Square, Los Angeles, CA",California,34.0019449,-118.3002125
175,"Vermont Vista, Los Angeles, CA",90044,33.9419475,-118.2858138
176,"Victor Heights, Los Angeles, CA",,,
177,"Victoria Park, Los Angeles, CA",California,34.0536909,-118.242766
178,"Village Green, Los Angeles, CA",90016,34.0198711,-118.360664
179,"Warehouse District, Los Angeles, CA",,,
180,"Warner Center, Los Angeles, CA",91367,34.1792049,-118.601522
181,"Watts, Los Angeles, CA",90002-3024,33.9405674,-118.2428485
182,"West Adams, Los Angeles, CA",90016,34.0294356,-118.3524833
183,"Westchester, Los Angeles, CA",90045,33.9597349,-118.4006322
184,"Westdale, Los Angeles, CA",90064,34.03038925,-118.4320124625026
185,"Western Heights, Los Angeles, CA",75154,32.534063,-96.85186
186,"West Hills, Los Angeles, CA",91307,34.2032325,-118.645476
187,"Westlake, Los Angeles, CA",California,34.0629226,-118.2728204
188,"West Los Angeles, Los Angeles, CA",90025-9998,34.0463986,-118.448135
189,"Westside Village, Los Angeles, CA",,,
190,"Westwood, Los Angeles, CA",90024-3990,34.0561207,-118.4306347
191,"Westwood Village, Los Angeles, CA",90024-3990,34.0594537,-118.4442462
192,"Whitley Heights, Los Angeles, CA",90028,34.1049967,-118.3374883
193,"Wholesale District, Los Angeles, CA",,,
194,"Wilmington, Los Angeles, CA",90744-4522,33.7800164,-118.2625095
195,"Wilshire Center, Los Angeles, CA",90024,34.06151465,-118.43277116196552
196,"Wilshire Park, Los Angeles, CA",90024,34.06151465,-118.43277116196552
197,"Windsor Square, Los Angeles, CA",90010-3401,34.072593100000006,-118.3208101697345
198,"Winnetka, Los Angeles, CA",91303-2211,34.1974485,-118.5710059
199,"Woodland Hills, Los Angeles, CA",91364,34.1684364,-118.6058382
200,"Yucca Corridor, Los Angeles, CA",,,
